Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
297,Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,Y
299,Male,Yes,1,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban,N
301,Male,Yes,,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,Y
302,Female,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,Y
303,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,Y
304,Male,No,0,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,Y
306,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y
310,Female,No,0,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban,Y
311,Male,No,0,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,Y
312,Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,Y
314,,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,N
316,Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y
320,Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,Y
321,Male,Yes,3+,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,Y
327,Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y
328,Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N
329,Female,No,0,Graduate,No,2500,0.0,67.0,360.0,1.0,Urban,Y
330,Male,No,1,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,Y
331,Male,No,0,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,Y
332,Male,No,,Graduate,No,2833,0.0,71.0,360.0,1.0,Urban,Y
336,Male,Yes,1,Graduate,,5250,688.0,160.0,360.0,1.0,Rural,Y
337,Male,Yes,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,Y
339,Female,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,Y
340,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,N
341,Female,No,0,Graduate,No,2378,0.0,46.0,360.0,1.0,Rural,N
342,Male,Yes,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,Y
343,Male,Yes,3+,Not Graduate,No,3173,0.0,74.0,360.0,1.0,Semiurban,Y
344,Male,Yes,2,Graduate,,2583,2330.0,125.0,360.0,1.0,Rural,Y
345,Male,Yes,0,Graduate,No,2499,2458.0,160.0,360.0,1.0,Semiurban,Y
347,Male,Yes,2,Not Graduate,No,3083,2168.0,126.0,360.0,1.0,Urban,Y
350,Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,Y
352,Male,Yes,3+,Graduate,No,2666,2083.0,95.0,360.0,1.0,Rural,Y
354,Female,Yes,0,Graduate,No,2423,505.0,130.0,360.0,1.0,Semiurban,Y
356,Male,Yes,2,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,Y
357,Male,Yes,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,N
359,Male,Yes,3+,Graduate,No,5167,3167.0,200.0,360.0,1.0,Semiurban,Y
360,Female,No,1,Graduate,No,4723,0.0,81.0,360.0,1.0,Semiurban,N
362,Male,Yes,0,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,Y
364,Male,No,0,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,Y
365,Male,No,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,N
368,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y
371,Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,Y
374,Female,No,0,Graduate,,2764,1459.0,110.0,360.0,1.0,Urban,Y
376,Male,Yes,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,Y
379,Male,Yes,2,Graduate,No,5391,0.0,130.0,360.0,1.0,Urban,Y
380,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban,Y
382,Female,No,0,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,Y
383,Male,No,0,Graduate,Yes,7167,0.0,128.0,360.0,1.0,Urban,Y
384,Male,Yes,2,Graduate,No,4566,0.0,100.0,360.0,1.0,Urban,N
386,Male,No,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,Y
388,Male,Yes,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban,Y
389,Male,Yes,0,Graduate,No,5488,0.0,125.0,360.0,1.0,Rural,Y
390,Male,No,3+,Graduate,No,9167,0.0,185.0,360.0,1.0,Rural,Y
394,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,Y
397,Male,Yes,0,Graduate,No,3033,1459.0,95.0,360.0,1.0,Urban,Y
398,Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,Y
403,Female,No,0,Not Graduate,No,1963,0.0,53.0,360.0,1.0,Semiurban,Y
404,Female,No,0,Graduate,Yes,7441,0.0,194.0,360.0,1.0,Rural,N
405,Female,No,0,Graduate,No,4547,0.0,115.0,360.0,1.0,Semiurban,Y
406,Male,Yes,0,Not Graduate,No,2167,2400.0,115.0,360.0,1.0,Urban,Y
407,Female,No,0,Not Graduate,No,2213,0.0,66.0,360.0,1.0,Rural,Y
410,Female,No,1,Not Graduate,Yes,3867,0.0,62.0,360.0,1.0,Semiurban,N
413,Male,Yes,0,Not Graduate,No,2253,2033.0,110.0,360.0,1.0,Rural,Y
415,Female,No,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,Y
416,Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,N
418,Male,Yes,0,Graduate,No,1025,2773.0,112.0,360.0,1.0,Rural,Y
419,Male,Yes,0,Graduate,No,3246,1417.0,138.0,360.0,1.0,Semiurban,Y
420,Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,Y
422,Male,Yes,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,Y
425,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y
426,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,N
427,Male,Yes,2,Graduate,No,5935,0.0,133.0,360.0,1.0,Semiurban,Y
428,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,Y
430,Female,No,1,Graduate,Yes,8624,0.0,150.0,360.0,1.0,Semiurban,Y
433,Male,Yes,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,Y
434,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
436,Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,Y
439,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,Y
440,Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,Y
441,Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,Y
442,Male,No,3+,Not Graduate,No,4707,1993.0,148.0,360.0,1.0,Semiurban,Y
445,Male,Yes,1,Graduate,Yes,3466,1210.0,130.0,360.0,1.0,Rural,Y
446,Male,Yes,2,Not Graduate,No,4652,0.0,110.0,360.0,1.0,Rural,Y
447,Male,Yes,0,Graduate,,3539,1376.0,55.0,360.0,1.0,Rural,N
454,Male,No,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,Y
455,Male,Yes,2,Graduate,No,3859,0.0,96.0,360.0,1.0,Semiurban,Y
456,Male,Yes,0,Graduate,No,4301,0.0,118.0,360.0,1.0,Urban,Y
457,Male,Yes,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,N
458,Male,No,2,Graduate,No,4354,0.0,136.0,360.0,1.0,Rural,Y
459,Male,Yes,0,Graduate,No,8334,0.0,160.0,360.0,1.0,Semiurban,N
462,Male,Yes,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural,Y
463,Female,No,1,Not Graduate,,5191,0.0,132.0,360.0,1.0,Semiurban,Y
465,Male,No,0,Graduate,No,6000,0.0,140.0,360.0,1.0,Rural,Y
468,Female,Yes,2,Not Graduate,,210,2917.0,98.0,360.0,1.0,Semiurban,Y
469,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N
470,Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,Y
472,Male,Yes,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,Y
474,Male,No,2,Graduate,No,5532,4648.0,162.0,360.0,1.0,Rural,Y
480,Female,No,0,Not Graduate,No,4350,0.0,154.0,360.0,1.0,Rural,Y
481,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,Y
482,Male,Yes,0,Graduate,No,2083,3150.0,128.0,360.0,1.0,Semiurban,Y
485,Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,Y
488,Male,Yes,2,Graduate,Yes,4583,2083.0,160.0,360.0,1.0,Semiurban,Y
489,Male,No,0,Graduate,No,2435,0.0,75.0,360.0,1.0,Urban,N
492,Male,No,0,Not Graduate,No,3691,0.0,110.0,360.0,1.0,Rural,Y
496,Male,Yes,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,Y
498,Male,Yes,1,Graduate,Yes,2895,0.0,95.0,360.0,1.0,Semiurban,Y
501,Female,No,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,Y
502,Male,Yes,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,Y
507,,No,0,Graduate,No,3583,0.0,96.0,360.0,1.0,Urban,N
508,Male,Yes,0,Graduate,Yes,2479,3013.0,188.0,360.0,1.0,Urban,Y
510,Male,No,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,N
512,Male,Yes,2,Graduate,No,3283,2035.0,148.0,360.0,1.0,Urban,Y
515,Male,Yes,3+,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,Y
518,Male,No,0,Graduate,No,4683,1915.0,185.0,360.0,1.0,Semiurban,N
519,Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,N
520,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,Y
521,Male,No,0,Graduate,No,2500,0.0,55.0,360.0,1.0,Semiurban,Y
522,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,Y
526,Male,Yes,0,Graduate,No,3775,0.0,110.0,360.0,1.0,Semiurban,Y
528,Male,No,1,Not Graduate,No,2679,1302.0,94.0,360.0,1.0,Semiurban,Y
529,Male,No,0,Not Graduate,No,6783,0.0,130.0,360.0,1.0,Semiurban,Y
531,Male,Yes,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,Y
535,Male,No,0,Not Graduate,,2550,2042.0,126.0,360.0,1.0,Rural,Y
537,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,Y
538,Male,Yes,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,N
542,Female,No,1,Graduate,,3652,0.0,95.0,360.0,1.0,Semiurban,Y
543,Male,Yes,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,Y
545,Male,Yes,0,Graduate,No,2768,1950.0,155.0,360.0,1.0,Rural,Y
547,Male,No,0,Graduate,No,2526,1783.0,145.0,360.0,1.0,Rural,Y
549,Male,Yes,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,Y
552,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,Y
555,Male,Yes,1,Graduate,No,5468,1032.0,26.0,360.0,1.0,Semiurban,Y
558,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,Y
559,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,Y
560,Male,Yes,2,Not Graduate,No,3675,242.0,108.0,360.0,1.0,Semiurban,Y
562,Male,Yes,0,Graduate,No,5923,2054.0,211.0,360.0,1.0,Rural,Y
563,Male,No,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,Y
566,Male,No,0,Graduate,No,3333,0.0,70.0,360.0,1.0,Urban,Y
570,Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,Y
574,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,N
577,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y
578,Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,Y
579,Male,No,0,Graduate,,3182,2917.0,161.0,360.0,1.0,Urban,Y
580,Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,Y
582,Female,Yes,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban,Y
586,Male,Yes,0,Graduate,No,2297,1522.0,104.0,360.0,1.0,Urban,Y
587,Female,No,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,Y
588,,No,0,Graduate,No,4750,0.0,94.0,360.0,1.0,Semiurban,Y
595,Male,No,0,Not Graduate,No,3833,0.0,110.0,360.0,1.0,Rural,Y
596,Male,Yes,2,Not Graduate,Yes,6383,1000.0,187.0,360.0,1.0,Rural,N
599,Male,Yes,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,Y
601,Male,Yes,0,Not Graduate,,2894,2792.0,155.0,360.0,1.0,Rural,Y
602,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,Y
603,Male,No,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,Y
606,Male,Yes,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,Y
607,Male,Yes,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,Y
608,Male,Yes,0,Graduate,No,3232,1950.0,108.0,360.0,1.0,Rural,Y
609,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,Y
612,Male,Yes,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,Y
